"DateTime","2600 - Consumption in service","2600 - Distance driven","2600 - SOC used in service","2601 - Consumption in service","2601 - Distance driven","2601 - SOC used in service","2602 - Consumption in service","2602 - Distance driven","2602 - SOC used in service","2603 - Consumption in service","2603 - Distance driven","2603 - SOC used in service","2604 - Consumption in service","2604 - Distance driven","2604 - SOC used in service","2605 - Consumption in service","2605 - Distance driven","2605 - SOC used in service","2606 - Consumption in service","2606 - Distance driven","2606 - SOC used in service","2607 - Consumption in service","2607 - Distance driven","2607 - SOC used in service","2608 - Consumption in service","2608 - Distance driven","2608 - SOC used in service","2609 - Consumption in service","2609 - Distance driven","2609 - SOC used in service","2610 - Consumption in service","2610 - Distance driven","2610 - SOC used in service","2611 - Consumption in service","2611 - Distance driven","2611 - SOC used in service","2612 - Consumption in service","2612 - Distance driven","2612 - SOC used in service","2613 - Consumption in service","2613 - Distance driven","2613 - SOC used in service"
"2018-04-19 00:00:00",,0.6741877435775073
"2018-04-24 00:00:00",1.417545841985499,4.018952919378166,2
"2018-04-25 00:00:00",1.6830920780240326,206.3555847804548,105.5
"2018-04-26 00:00:00",,0.5374860812852995,0.5
"2018-05-03 00:00:00",,,57
"2018-05-04 00:00:00",,0.3666090034200115,1.5
"2018-05-25 00:00:00",,,0.5
"2018-06-05 00:00:00",,0.3044718841962993,0.5
"2018-06-13 00:00:00",2.1169971939290453,20.666805853813724,40
"2018-06-14 00:00:00",,0.8699196691322534,1.5
"2018-06-20 00:00:00",,0.33554044380817305,0.5
"2018-06-21 00:00:00",,0.30136502823511546
"2018-06-26 00:00:00",,0.8916676608605756,0.5
"2018-06-27 00:00:00",,1.2831315119700932,1.5
"2018-07-02 00:00:00",2.049231558758056,16.770808478485648,9.5
"2018-07-03 00:00:00",1.9836919334624474,84.50958900023856,46
"2018-07-04 00:00:00",,1.130895569871979,0.5
"2018-07-05 00:00:00",2.0533023864029314,83.96899606299212,48.5
"2018-07-06 00:00:00",,0.580982064741944,1.5
"2018-07-07 00:00:00",,0.382143283225966,0.5
"2018-07-09 00:00:00",2.066940668014919,57.47994213791458,33.5
"2018-07-10 00:00:00",,0.1491290861369658
"2018-07-11 00:00:00",2.236272620716957,84.76124433309471,53
"2018-07-12 00:00:00",2.1555450527408855,198.62690864640433,130
"2018-07-13 00:00:00",2.176125124498399,91.46023244959504,55.5
"2018-07-14 00:00:00",,0.33243358784688326,0.5
"2018-07-15 00:00:00",1.829481921906385,96.37467191601044,49
"2018-07-16 00:00:00",1.7960752376470586,112.60488745724967,63.5
"2018-07-17 00:00:00",,1.7367324823032524,0.5
"2018-07-18 00:00:00",2.072934388573598,207.85048112230808,126
"2018-07-19 00:00:00",2.6596225118669534,4.381956442314568,4
"2018-07-20 00:00:00",1.982026086424464,206.17189985484754,120.5
"2018-07-21 00:00:00",,1.4002537679949445
"2018-07-22 00:00:00",1.7471790642493583,36.4807026962539,17.5
"2018-07-23 00:00:00",2.1891144177169704,143.51499741509593,90.5
"2018-07-24 00:00:00",,0.304471884196158,0.5
"2018-07-25 00:00:00",2.1547305788032207,124.59295624432956,83.5
"2018-07-26 00:00:00",2.1737729758924442,119.51582348206828,82
"2018-07-27 00:00:00",2.133371608150581,205.8426051618309,125.5
"2018-07-28 00:00:00",1.9745237236970576,174.82181462660455,99
"2018-07-29 00:00:00",1.9619809343085726,152.67711564463534,81.5
"2018-07-30 00:00:00",2.2463351657071136,207.95429690606858,136.5
"2018-07-31 00:00:00",2.084600364158205,195.6359679351231,125
"2018-08-01 00:00:00",2.059990131258286,205.9997295913224,138.5
"2018-08-02 00:00:00",,0.9475910681617082,0.5
"2018-08-03 00:00:00",2.0245856532681072,204.07360989299997,118
"2018-08-04 00:00:00",1.9909127533118127,172.09518931959855,94
"2018-08-05 00:00:00",2.088181351384612,143.62373737373755,82
"2018-08-06 00:00:00",2.001139147095347,166.288251610594,98
"2018-08-07 00:00:00",2.1377430239152546,204.47555158735346,127.5
"2018-08-08 00:00:00",2.1149442498738393,207.4904420100377,134.5
"2018-08-09 00:00:00",2.013358821850393,216.85363595483506,130
"2018-08-10 00:00:00",1.9024907288287525,205.425912083475,117
"2018-08-11 00:00:00",1.9405216186066359,149.71748926384535,81.5
"2018-08-13 00:00:00",2.054435235678228,207.08501271520927,129
"2018-08-14 00:00:00",1.6883562309053421,38.634095994080305,18
"2018-08-15 00:00:00",2.1082274707193607,205.68939832473714,127.5
"2018-08-16 00:00:00",1.9877364331115703,209.00946360628137,122.5
"2018-08-17 00:00:00",2.0305210770021884,205.24540550297385,118
"2018-08-18 00:00:00",2.1128627983845276,171.1752363597007,107
"2018-08-20 00:00:00",1.9786854350090777,205.36113833425833,115
"2018-08-21 00:00:00",,1.3131339158016766,1
"2018-08-22 00:00:00",2.094667106616039,206.4537646703784,127
"2018-08-23 00:00:00",2.078627962183192,210.2133419050968,135
"2018-08-24 00:00:00",1.789083124360235,206.44397355626472,117
"2018-08-25 00:00:00",1.9869390318201563,146.9822001116395,88
"2018-08-26 00:00:00",1.895818483853134,151.9749661974071,84.5
"2018-08-27 00:00:00",1.9418094553631626,207.9646164481542,118
"2018-08-28 00:00:00",,1.2262091304665563
